DATE;TESTED;CASES;RECOVERED;DEAD
14.03.2020 21:43:50;7467;655;6;1
14.03.2020 21:47:01;7467;655;6;1
14.03.2020 21:47:11;7467;655;6;1
14.03.2020 21:47:24;7467;655;6;1
14.03.2020 21:47:34;7467;655;6;1
14.03.2020 21:47:44;7467;655;6;1
